text,prompt,target,prediction,string_preds
"Desain nya akan mirip dengan model sebelumnya , ungkap Ming Chi Ku o .",,[],"[{'aspect': 'Desain', 'opinion': 'akan mirip', 'sentiment': 'positive'}]","( Desain, akan mirip, positive )"
Di sini Anda akan bisa bersantai di kamar yang terawat bersih serta menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas .,,"[{'aspect': 'kamar', 'opinion': 'terawat bersih', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'terawat bersih', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas', 'sentiment': 'positive'}]","( kamar, terawat bersih, positive ) ; ( kamar, menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas, positive )"
""" Sedangkan pada sektor kritikal , supermarket dan hypermarket sudah dapat beroperasi 100 %, "" Masih dalam koridor Level 1 , untuk kegiatan makan minum ditempat umum diizinkan buka sampai dengan pukul 22.00 dengan kapasitas 100 % .",,"[{'aspect': 'supermarket dan hypermarket', 'opinion': 'dapat beroperasi 100 %,', 'sentiment': 'positive'}]","[{'aspect': 'supermarket', 'opinion': 'sudah dapat beroperasi 100 %', 'sentiment': 'positive'}]","( supermarket, sudah dapat beroperasi 100 %, positive )"
"Selepas itu , Jokowi akan menuju Pasar Baru Tanjung Enim , Kabupaten Muara Enim , untuk menyerahkan bantuan langsung tunai bagi para pedagang .",,[],[],NONE
"Kemudian album kedua diisi penampil di album pertama dan sejumlah musisi yang menyusul bergabung di 88rising , seperti Jackson Wang , August 08 , serta Stephanie Poetri . BTS kembali menyapa ARMY dalam konser Permission to Dance on Stage - Seoul yang berlangsung selama tiga hari .",,[],[],NONE
"Karenanya , perlu ada kepastian jadwal penyelenggaraan acara beberapa waktu ke depan .",,[],[],NONE
""" Jadi tanah kosong yang dia beli kemudian ada pembangunan , "" kata Karta kepada wartawan di lokasi .",,[],"[{'aspect': 'tanah kosong', 'opinion': 'ada pembangunan', 'sentiment': 'negative'}]","( tanah kosong, ada pembangunan, negative )"
"Bank ANZ memprediksi di akhir 2022 , rupiah bakal semakin dekat dengan Rp 14.000 / US$ .",,"[{'aspect': 'rupiah', 'opinion': 'bakal semakin dekat dengan Rp 14.000 / US$', 'sentiment': 'negative'}]",[],NONE
"Dengan situasi tersebut , Dino menyebut peluang untuk perubahan jadwal acara hingga pembatalan sudah mesti dipersiapkan baik oleh promotor pelaksana konser maupun calon penonton .",,[],[],NONE
"Dunia Metaverse populer lainnya adalah Sandbox , tempat perusahaan pengembang real estate virtual Junine Yorio bernama Republic Realm menghabiskan US$ 4,3 juta untuk sebidang lahan virtual .",,[],[],NONE
"Dale Fisher , kepala kelompok kedokteran di Sistem Kesehatan Universitas Nasional Singapura mengatakan risiko keparahan akibat terpapar Covid - 19 bagi mereka yang sudah divaksin pun tidak akan turun .",,"[{'aspect': 'risiko keparahan', 'opinion': 'tidak akan turun', 'sentiment': 'negative'}]","[{'aspect': 'risiko keparahan', 'opinion': 'tidak akan turun', 'sentiment': 'positive'}]","( risiko keparahan, tidak akan turun, positive )"
Masalah nya ketergantungan Eropa terhadap pasokan gas dari Rusia sangat tinggi .,,"[{'aspect': 'ketergantungan Eropa', 'opinion': 'sangat tinggi', 'sentiment': 'negative'}]","[{'aspect': 'ketergantungan Eropa terhadap pasokan gas dari Rusia', 'opinion': 'sangat tinggi', 'sentiment': 'negative'}]","( ketergantungan Eropa terhadap pasokan gas dari Rusia, sangat tinggi, negative )"
"Waketum Partai Golkar itu menyampaikan , pemerintah juga mengusulkan supaya pihak nya ikut mempunyai bayangan terhadap kota yang mau dibangun .",,[],[],NONE
""" Untuk keluar kota memang diizinkan untuk keperluan keluarga kemudian berobat , kemudian alasan bekerja itu diperbolehkan untuk saat ini , "" kata Ricky .",,"[{'aspect': 'keluar kota', 'opinion': 'memang diizinkan', 'sentiment': 'positive'}]",[],NONE
Anda harus berlangganan paket yang telah disediakan lebih dulu untuk live streaming MotoGP di Vision+ dan laman resmi MotoGP ( MotoGP Video Pass ) .,,[],[],NONE
"Pabrik baru akan dianggap sebagai investasi berkelanjutan hingga tahun 2045 dan harus menjalani peningkatan keselamatan selama masa pakai nya untuk memastikan "" standar keselamatan tertinggi dapat dicapai , "" menurut rancangan tersebut .",,[],[],NONE
""" Kedua , promotor dan penonton komitmen untuk menjalankan prokes agar tidak terjadi klaster , "" lanjut nya .",,[],[],NONE
Boom !,,[],[],NONE
"Perlu diketahui , jumlah salur ( lifting ) gas rata-rata selama 2021 tercatat "" hanya "" 5.501 MMSCFD .",,[],[],NONE
"Jika benar , maka harga tersebut lebih murah dari pendahulu nya .",,"[{'aspect': 'harga', 'opinion': 'lebih murah', 'sentiment': 'positive'}]","[{'aspect': 'harga', 'opinion': 'lebih murah', 'sentiment': 'positive'}]","( harga, lebih murah, positive )"
""" Warner Music telah mengamankan properti setara di tepi pantai metaverse , "" kata chief digital officer pengembangan bisnis Oana Ruxandra .",,[],[],NONE
Hal itu disampaikan lantaran suhu udara di Kaltim sudah mulai panas imbas hutan gundul di sejumlah wilayah .,,"[{'aspect': 'suhu udara', 'opinion': 'mulai panas', 'sentiment': 'negative'}, {'aspect': 'hutan', 'opinion': 'gundul', 'sentiment': 'negative'}]","[{'aspect': 'suhu udara', 'opinion': 'sudah mulai panas imbas hutan gundul', 'sentiment': 'negative'}]","( suhu udara, sudah mulai panas imbas hutan gundul, negative )"
4 .,,[],[],NONE
"Itu tidak berarti dia melarang perjalanan , Harris mengatakan dia merencanakan dua perjalanan ke Eropa tahun ini .",,[],"[{'aspect': 'perjalanan', 'opinion': 'melarang', 'sentiment': 'negative'}]","( perjalanan, melarang, negative )"
Bahkan Paris Hilton menyelenggarakan pesta tahun baru di pulau virtual pribadi nya .,,[],[],NONE
3 .,,[],[],NONE
""" Kenapa tanah dan air ? Tentunya adalah kita adalah negara Nusantara yang dari ujung Aceh sampai Papua dan kearifan lokal itu berbeda-beda , dituangkan di dalam sebuah simbolis tanah dan simbolis air dijadikan satu menjadi kalimat Tanah Air . Kira-kira seperti itu , "" ujar Heru .",,[],[],NONE
"Pada Selasa ( 8 / 3 / 2022 ) pukul 17.26 WIB harga gas alam Eropa tercatat Euro 225 / MWh , naik 4,41 % dibandingkan posisi kemarin .",,[],"[{'aspect': 'harga gas alam Eropa', 'opinion': 'naik', 'sentiment': 'positive'}]","( harga gas alam Eropa, naik, positive )"
"Pihak yang telah dimintai keterangan dalam kasus ini , antara lain dari pihak Pemerintah Kota Makassar hingga pemilik tempat acara konser musik tersebut .",,[],[],NONE
"Dalam acara ini , Adele akan melakukan dua pertunjukan setiap akhir pekan hingga Sabtu , 16 April 2022 dengan total 12 minggu .",,[],[],NONE
[ Gambas : Video CNN ] Menteri Energi dan Sumber Daya Mineral ( ESDM ) Arifin Tasrif mengungkapkan PT PLN ( Persero ) sempat mengalami krisis gas alam cair ( liquefied natural gas / LNG ) .,,"[{'aspect': 'PT PLN ( Persero )', 'opinion': 'sempat mengalami krisis gas alam cair ( liquefied natural gas / LNG )', 'sentiment': 'negative'}]","[{'aspect': 'PT PLN ( Persero )', 'opinion': 'sempat mengalami krisis gas alam cair ( liquefied natural gas / LNG )', 'sentiment': 'negative'}]","( PT PLN ( Persero ), sempat mengalami krisis gas alam cair ( liquefied natural gas / LNG ), negative )"
"Juara dunia MotoGP 2021 itu mengukir rekor pada sesi latihan bebas kedua ( FP2 ) dengan catatan waktu 1 menit 31,608 detik .",,"[{'aspect': 'Juara dunia MotoGP 2021', 'opinion': 'mengukir rekor', 'sentiment': 'positive'}]","[{'aspect': 'Juara dunia MotoGP 2021', 'opinion': 'mengukir rekor', 'sentiment': 'positive'}]","( Juara dunia MotoGP 2021, mengukir rekor, positive )"
"Merinci beberapa kategori individu dalam penelitian ini , Reykjavik juga menempati posisi teratas untuk kesetaraan gender dan polusi udara serta suara paling sedikit , sementara Doha adalah yang terbaik untuk keselamatan dan keamanan , Oslo untuk akses kesehatan , dan Bern untuk stres keuangan .",,"[{'aspect': 'Reykjavik', 'opinion': 'posisi teratas untuk kesetaraan gender', 'sentiment': 'positive'}, {'aspect': 'Reykjavik', 'opinion': 'suara paling sedikit', 'sentiment': 'positive'}, {'aspect': 'Doha', 'opinion': 'terbaik untuk keselamatan dan keamanan', 'sentiment': 'positive'}]","[{'aspect': 'kesetaraan gender', 'opinion': 'menempati posisi teratas', 'sentiment': 'positive'}, {'aspect': 'polusi udara', 'opinion': 'paling sedikit', 'sentiment': 'positive'}, {'aspect': 'Doha', 'opinion': 'terbaik untuk keselamatan dan keamanan', 'sentiment': 'positive'}, {'aspect': 'Oslo', 'opinion': 'terbaik untuk akses kesehatan', 'sentiment': 'positive'}, {'aspect': 'Oslo', 'opinion': 'terbaik untuk akses kesehatan', 'sentiment': 'positive'}, {'aspect': 'Oslo', 'opinion': 'terbaik untuk akses kesehatan', 'sentiment': 'positive'}]","( kesetaraan gender, menempati posisi teratas, positive ) ; ( polusi udara, paling sedikit, positive ) ; ( Doha, terbaik untuk keselamatan dan keamanan, positive ) ; ( Oslo, terbaik untuk akses kesehatan, positive ) ; ( Oslo, terbaik untuk akses kesehatan, positive ) ; ( Oslo, terbaik untuk akses kesehatan, positive )"
"Selain budget dan kualitas kenyamanan yang ditawarkan , Anda juga bisa memilih vila di Bali sesuai dengan titik wisata , kuliner , maupun hiburan lain di sekitar penginapan .",,[],[],NONE
"Pembalap asal Italia , Riccardo Rossi , terlihat kegirangan ketika bermain dengan seekor monyet di sebuah tempat di Mandalika .",,"[{'aspect': 'Riccardo Rossi', 'opinion': 'terlihat kegirangan', 'sentiment': 'positive'}]","[{'aspect': 'Riccardo Rossi', 'opinion': 'terlihat kegirangan', 'sentiment': 'positive'}]","( Riccardo Rossi, terlihat kegirangan, positive )"
Sanksi yang dicermati oleh para pelaku pasar adalah upaya untuk menendang Rusia dari jejaring informasi perbankan internasional yang dikenal sebagai SWIFT .,,[],[],NONE
"Berikut detail jadwal balapan MotoGP Mandalika 2022 hari ini , Minggu , 20 Maret 2022 .",,[],[],NONE
Pada 2021 jaringan gas pipa ( jargas ) bertambah sebanyak 126.876 sambungan rumah tangga ( SR ) di 21 kabupaten / kota .,,[],[],NONE
""" Situasi geopolitik yang sangat tidak terduga dan risiko eskalasi lebih lanjut dan sanksi baru kemungkinan akan mendukung harga lebih lanjut , "" kata analis di Refinitiv dalam laporan pagi .",,"[{'aspect': 'Situasi geopolitik', 'opinion': 'sangat tidak terduga', 'sentiment': 'negative'}]","[{'aspect': 'Situasi geopolitik', 'opinion': 'sangat tidak terduga', 'sentiment': 'negative'}, {'aspect': 'risiko eskalasi lebih lanjut', 'opinion': 'mendukung harga lebih lanjut', 'sentiment': 'negative'}, {'aspect': 'sanksi baru', 'opinion': 'mendukung harga lebih lanjut', 'sentiment': 'negative'}]","( Situasi geopolitik, sangat tidak terduga, negative ) ; ( risiko eskalasi lebih lanjut, mendukung harga lebih lanjut, negative ) ; ( sanksi baru, mendukung harga lebih lanjut, negative )"
Negara tersebut bukan anggota Financial Action Task Force ( on Money Laundering ) ( FATF ) yang punya aturan lemah terkait pencucian uang .,,[],"[{'aspect': 'aturan', 'opinion': 'lemah', 'sentiment': 'negative'}]","( aturan, lemah, negative )"
"Hal itu dilakukan untuk meningkatkan perekonomian dan kesejahteraan masyarakat Jabar bagian selatan , perbaikan aksesibilitas dengan pembangunan JTS salah satu cara nya .",,"[{'aspect': 'pembangunan JTS', 'opinion': 'meningkatkan perekonomian dan kesejahteraan masyarakat', 'sentiment': 'positive'}, {'aspect': 'pembangunan JTS', 'opinion': 'perbaikan aksesibilitas', 'sentiment': 'positive'}]","[{'aspect': 'pembangunan JTS', 'opinion': 'meningkatkan perekonomian dan kesejahteraan masyarakat', 'sentiment': 'positive'}]","( pembangunan JTS, meningkatkan perekonomian dan kesejahteraan masyarakat, positive )"
"Semua pertunjukan juga dapat disaksikan langsung di layar lebar , MGM Grand Garden Arena .",,[],[],NONE
Alasan selanjutnya soal kesenangan .,,[],[],NONE
""" Kita kan ini sekarang membangun ibu kota baru , kota baru . Kota baru ini kan disebut smart city , kemudian sustainable city , green city . Kita juga harus melihat contoh-contoh di mana tempat-tempat yang sudah dikategorikan memenuhi slogan-slogan itu , "" kata Doli kepada wartawan di Kompleks Parlemen , Senayan , Jakarta pada Kamis ( 13 / 1 ) .",,[],[],NONE
Aliran ke Slovakia melalui Ukraina tetap pada tingkat tinggi .,,[],[],NONE
10 .,,[],[],NONE
"Tak berlangsung lama dari kabar studi banding luar negeri tersebut , Pansus RUU IKN kembali melakukan studi banding ke perumahan BSD City , Tangerang Selatan , dan Alam Sutera , Tangerang pada Minggu ( 16 / 1 ) .",,[],[],NONE
Padahal Indonesia adalah negara yang memiliki sumber daya alam yang berlimpah .,,"[{'aspect': 'sumber daya alam', 'opinion': 'berlimpah', 'sentiment': 'positive'}]","[{'aspect': 'sumber daya alam', 'opinion': 'melimpah', 'sentiment': 'positive'}]","( sumber daya alam, melimpah, positive )"
Hanya saja ia mengaku kecewa karena Adele membatalkan kurang dari 24 jam konser dimulai .,,"[{'aspect': 'Adele', 'opinion': 'kecewa', 'sentiment': 'negative'}, {'aspect': 'konser', 'opinion': 'membatalkan', 'sentiment': 'negative'}]","[{'aspect': 'Adele', 'opinion': 'kecewa', 'sentiment': 'negative'}, {'aspect': 'Adele', 'opinion': 'membatalkan kurang dari 24 jam konser dimulai', 'sentiment': 'negative'}]","( Adele, kecewa, negative ) ; ( Adele, membatalkan kurang dari 24 jam konser dimulai, negative )"
"Terpisah , Yanto seorang pedagang buah berharap kehadiran Ibu Kota di Kaltim nantinya tidak merusak alam dan ada nya penghijauan .",,[],"[{'aspect': 'kehadiran Ibu Kota', 'opinion': 'tidak merusak alam', 'sentiment': 'positive'}]","( kehadiran Ibu Kota, tidak merusak alam, positive )"
Head in the Clouds Jakarta kala itu juga telah merilis daftar musisi yang menjadi penampil .,,[],[],NONE
Salah satu donasi terbesar yang pernah diberikan IU adalah untuk Tragedi Sewol .,,[],"[{'aspect': 'donasi', 'opinion': 'terbesar', 'sentiment': 'positive'}]","( donasi, terbesar, positive )"
"Acara itu akan ditayangkan secara langsung pada bagian Apple Event dan berfungsi di seluruh browser dari Safari , mozilla , Firefox , Microsoft Edge dan Google Chrome .",,[],[],NONE
"Tak hanya itu , musisi asal Indonesia Rich Brian juga turut menyaksikan konser konser Permission to Dance On Stage - LA .",,[],[],NONE
Rancangan teks hukum yang diedarkan di Brussel selama akhir pekan kemarin berusaha mencari jalan tengah .,,[],[],NONE
Dawn juga mengklaim telah membayar US$ 877 masing-masing untuk empat tiket demi menghadiri pertunjukan Adele .,,[],[],NONE
Tentunya jumlah ini masih sangat minim dan belum semua provinsi teraliri gas pipa .,,"[{'aspect': 'jumlah', 'opinion': 'masih sangat minim', 'sentiment': 'negative'}, {'aspect': 'gas pipa', 'opinion': 'belum semua provinsi teraliri', 'sentiment': 'negative'}]","[{'aspect': 'jumlah', 'opinion': 'masih sangat minim', 'sentiment': 'negative'}, {'aspect': 'gas pipa', 'opinion': 'belum semua provinsi teraliri', 'sentiment': 'negative'}]","( jumlah, masih sangat minim, negative ) ; ( gas pipa, belum semua provinsi teraliri, negative )"
"Manajer Justin , Scooter Braun menyebut situasi itu membuat konser Bieber di Las Vegas ditunda hingga Juni mendatang .",,"[{'aspect': 'konser Bieber di Las Vegas', 'opinion': 'ditunda', 'sentiment': 'negative'}]","[{'aspect': 'konser Bieber di Las Vegas', 'opinion': 'ditunda', 'sentiment': 'negative'}]","( konser Bieber di Las Vegas, ditunda, negative )"
"Berikut sejumlah bocoran terkait iPhone SE terbaru dirangkum dari Cnet , Senin ( 7 / 2 / 2022 ) : Tanggal Perilisan CNet menuliskan Apple telah mengirimkan undangan kepada media untuk sebuah acara pada Selasa , 8 Maret 2022 .",,[],[],NONE
"Sementara sisa nya , dipasok untuk sektor industri .",,[],[],NONE
""" Yang diminati sementara ini rumah sederhana dan menengah , ada yang untuk dihuni maupun dijadikan investasi , baik dijual maupun disewakan lagi , "" kata Ketua Real Estate Indonesia ( REI ) Totok Lusida kepada CNBC Indonesia , Senin ( 21 / 3 / 22 ) .",,[],"[{'aspect': 'rumah', 'opinion': 'sederhana', 'sentiment': 'positive'}, {'aspect': 'rumah', 'opinion': 'ada yang untuk dihuni maupun disewakan lagi', 'sentiment': 'positive'}]","( rumah, sederhana, positive ) ; ( rumah, ada yang untuk dihuni maupun disewakan lagi, positive )"
Deputi Keuangan dan Monetisasi SKK Migas Arief Setiawan Handoko menyampaikan bahwa sektor hulu migas akan menyiapkan 58 kargo gas alam cair yang dipasok dari Kilang Bontang dan Kilang Tangguh di Kalimantan Timur .,,[],[],NONE
""" Kerinduan itu terjawab tatkala Bapak hadir di sini . Masyarakat gegap gempita menyambut Bapak sejak turun dari Bandara Atung Bungsu tadi , "" jelas nya .",,"[{'aspect': 'Kerinduan', 'opinion': 'terjawab', 'sentiment': 'positive'}, {'aspect': 'Masyarakat', 'opinion': 'gegap gempita menyambut', 'sentiment': 'positive'}]","[{'aspect': 'Masyarakat', 'opinion': 'gegap gempita', 'sentiment': 'positive'}]","( Masyarakat, gegap gempita, positive )"
"Seandainya saja , kata dia , pengadaan barang dan jasa pemerintahan secara konsisten membeli produk buatan industri dan UKM dalam negeri , akan memacu pertumbuhan ekonomi .",,"[{'aspect': 'pengadaan barang dan jasa pemerintahan', 'opinion': 'secara konsisten membeli produk buatan industri dan UKM dalam negeri', 'sentiment': 'positive'}, {'aspect': 'pengadaan barang dan jasa pemerintahan', 'opinion': 'akan memacu pertumbuhan ekonomi', 'sentiment': 'positive'}]","[{'aspect': 'pengadaan barang dan jasa pemerintahan', 'opinion': 'secara konsisten membeli produk buatan industri dan UKM dalam negeri', 'sentiment': 'positive'}, {'aspect': 'membeli produk', 'opinion': 'konsisten', 'sentiment': 'positive'}]","( pengadaan barang dan jasa pemerintahan, secara konsisten membeli produk buatan industri dan UKM dalam negeri, positive ) ; ( membeli produk, konsisten, positive )"
""" Jabar Selatan ini memang perlu lebih banyak intervensi pemerintah . Jalan ini bagus sekali untuk tahap awal , "" kata Menteri Agraria dan Tata Ruang ( ATR ) Sofyan Djalil , dalam Rakor bersama Kemenko Marves , mengutup keterangan resmi , Februari lalu .",,"[{'aspect': 'Jalan', 'opinion': 'bagus sekali untuk tahap awal', 'sentiment': 'positive'}]","[{'aspect': 'Jabar Selatan', 'opinion': 'bagus sekali untuk tahap awal', 'sentiment': 'positive'}]","( Jabar Selatan, bagus sekali untuk tahap awal, positive )"
"Kabar teranyar , CMPP berencana melaksanakan Rapat Umum Pemegang Saham Luar Biasa ( RUPSLB ) pada hari ini , mulai pukul 14.00 WIB di Kantor Pusat AirAsia - Gedung Redhouse , Jl. Marsekal Suryadharma No. 1 , Neglasari , Tangerang .",,[],[],NONE
"Ada hampir 300 penumpang yang tewas dalam tragedi tersebut , mayoritas dari mereka adalah anak sekolah .",,"[{'aspect': 'penumpang', 'opinion': 'tewas', 'sentiment': 'negative'}]",[],NONE
"Lanjut ke sebelah ... Konser musik bertajuk Soundfest Bersua yang sedianya menghadirkan penyanyi Tulus di Kota Bandung , Jawa Barat , dibubarkan Satgas Penanganan Covid - 19 , Selasa ( 29 / 3 ) .",,"[{'aspect': 'Soundfest Bersua', 'opinion': 'dibubarkan Satgas Penanganan Covid - 19', 'sentiment': 'negative'}]","[{'aspect': 'Konser musik', 'opinion': 'dibubarkan', 'sentiment': 'negative'}]","( Konser musik, dibubarkan, negative )"
"Lantas apakah IKN Nusantara aman untuk dihuni , meskipun terkandung batu bara , salah satu sumber daya alam yang mudah terbakar ?",,"[{'aspect': 'batu bara', 'opinion': 'mudah terbakar', 'sentiment': 'negative'}]","[{'aspect': 'IKN Nusantara', 'opinion': 'aman untuk dihuni', 'sentiment': 'positive'}, {'aspect': 'IKN Nusantara', 'opinion': 'mengandung batu bara', 'sentiment': 'negative'}, {'aspect': 'sumber daya alam', 'opinion': 'mudah terbakar', 'sentiment': 'positive'}]","( IKN Nusantara, aman untuk dihuni, positive ) ; ( IKN Nusantara, mengandung batu bara, negative ) ; ( sumber daya alam, mudah terbakar, positive )"
"Terkait perkembangan proyek JTS , sempat dilakukan kunjungan Wakil Gubernur ( Wagub ) Jawa Barat ( Jabar ) Uu Ruzhanul Ulum ke lapangan awal September 2021 lalu .",,[],[],NONE
Ketua komite energi Duma Negara menggemakan keputusan Putin sambil menambahkan bahwa negara itu juga harus menerima emas .,,[],[],NONE
"Akan tetapi , ternyata pergerakan harga tersebut bukan berasal dari aktivitas riil melainkan diduga merupakan skema manipula di dalam nya .",,"[{'aspect': 'pergerakan harga', 'opinion': 'bukan berasal dari aktivitas riil', 'sentiment': 'negative'}, {'aspect': 'pergerakan harga', 'opinion': 'skema manipula', 'sentiment': 'negative'}]","[{'aspect': 'pergerakan harga', 'opinion': 'bukan berasal dari aktivitas riil', 'sentiment': 'negative'}, {'aspect': 'pergerakan harga', 'opinion': 'diduga merupakan skema manipula', 'sentiment': 'negative'}]","( pergerakan harga, bukan berasal dari aktivitas riil, negative ) ; ( pergerakan harga, diduga merupakan skema manipula, negative )"
iPhone SE Plus ?,,[],[],NONE
"Meski dikenal dengan rempah nya , Indonesia pun masih mengimpor lada sebanyak 318,68 ribu kilogram dengan nilai US$ 1,52 juta .",,[],[],NONE
Fabio Di Giannatonio juga memasuki musim MotoGP 2022 bersama Gresini Racing .,,[],[],NONE
"Berdasarkan hasil penelusuran Walhi , menunjukkan ada 148 konsesi di antara nya adalah pertambangan batubara , baik yang berstatus Izin Usaha Pertambangan ( IUP ) dan satu di antara nya berstatus Perjanjian Karya Pengusahaan Pertambangan Batubara ( PKP2B ) . Impor Liquefied Petroleum Gas ( LPG ) RI bisa dikatakan semakin parah , terutama dalam enam tahun terakhir ini .",,"[{'aspect': 'Impor Liquefied Petroleum Gas ( LPG ) RI', 'opinion': 'semakin parah', 'sentiment': 'negative'}]","[{'aspect': 'Impor Liquefied Petroleum Gas ( LPG ) RI', 'opinion': 'semakin parah', 'sentiment': 'negative'}]","( Impor Liquefied Petroleum Gas ( LPG ) RI, semakin parah, negative )"
"Di Kabupaten Muara Enim , Jokowi diagendakan untuk melakukan groundbreaking proyek hilirisasi batu bara menjadi dimetil eter ( DME ) .",,[],[],NONE
"Namun The Sandbox merencanakan menggelar acara penjualan Land , nama petakan lahan di peta salah satu game berbasis blockchain ini , pada Maret 2022 .",,[],[],NONE
"Tak hanya itu , BTS turut menampilkan koreografi untuk menghibur ARMY yang sudah menantikan penampilan mereka selama tiga tahun terakhir .",,"[{'aspect': 'ARMY', 'opinion': 'menantikan penampilan', 'sentiment': 'positive'}]","[{'aspect': 'BTS', 'opinion': 'menghibur', 'sentiment': 'positive'}]","( BTS, menghibur, positive )"
